宏福超市 123.23 12.00 2 1970 56.00 2000:12:12:12:12 3000:12:12:12:12
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
