宏福超市 9.01 45.45 10 113 109.10 1212:12:12:12:12 1212:12:12:12:12
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
