test1:2017:09:20:16:49 test1 2017:09:20:16:49 牙刷 20 15.00 300.00
test1:2017:09:20:16:50 test1 2017:09:20:16:50 水杯 2 20.00 40.00
test1:2017:09:20:16:50 test1 2017:09:20:16:50 牙刷 2 15.00 30.00
test1:2017:09:20:16:50 test1 2017:09:20:16:50 牙刷 5 15.00 75.00
test1:2017:09:20:16:50 test1 2017:09:20:16:50 蚊帐 10 49.90 499.00
test1:2017:09:20:16:55 test1 2017:09:20:16:55 可乐 10 2.00 20.00
test1:2017:09:20:16:55 test1 2017:09:20:16:55 可乐 10 2.50 25.00
test2:2017:09:20:17:06 test2 2017:09:20:17:06 水杯 2 17.99 35.98
test2:2017:09:20:17:06 test2 2017:09:20:17:06 核桃 30 12.50 375.00
test2:2017:09:20:17:06 test2 2017:09:20:17:06 水杯 2 20.00 40.00
test2:2017:09:20:17:06 test2 2017:09:20:17:06 蚊帐 1 49.90 49.90
test2:2017:09:20:17:06 test2 2017:09:20:17:06 牙刷 3 15.00 45.00
test2:2017:09:20:17:16 test2 2017:09:20:17:16 可乐 1 2.50 2.50
